version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v2,T3+F2,external_position_filter,all8,24,ABEF,6,65.32530283819814,126.8348138254776,80.55997242025771
v2,T3+F2,external_position_filter,all8,24,ADHE,6,58.380430285966085,138.05509666186506,83.43361267971179
v2,T3+F2,external_position_filter,all8,24,BCGF,6,47.09169955934023,206.20279529632776,112.24780338522564
v2,T3+F2,external_position_filter,all8,24,CDHG,6,95.88062348227874,174.13214413426684,112.65970163938894
v2,T3+F2,external_position_filter,noG,24,ABEF,6,80.86711893334476,126.06058744328634,87.15123039280833
v2,T3+F2,external_position_filter,noG,24,ADHE,6,104.7954177015929,234.49095194336144,141.8511784918752
v2,T3+F2,external_position_filter,noG,24,BCGF,6,70.6932476999648,274.0687049839936,152.70775176642118
v2,T3+F2,external_position_filter,noG,24,CDHG,6,103.45299998157749,178.23203712210864,123.35093044468941
v2,T3+F3,external_position_filter,all8,24,ABEF,6,65.80532273486132,126.24087372939897,80.53424515041094
v2,T3+F3,external_position_filter,all8,24,ADHE,6,58.463301372795456,138.82848369293222,83.73138152243057
v2,T3+F3,external_position_filter,all8,24,BCGF,6,46.84456157013827,206.1510583239848,112.14849666237009
v2,T3+F3,external_position_filter,all8,24,CDHG,6,97.46261099006034,175.1524047455116,113.42971038134861
v2,T3+F3,external_position_filter,noG,24,ABEF,6,81.99452213933114,126.9824825868319,87.8870072382602
v2,T3+F3,external_position_filter,noG,24,ADHE,6,105.01286582643317,234.99888564741153,142.1232261459575
v2,T3+F3,external_position_filter,noG,24,BCGF,6,70.36977084522347,274.9111734270145,153.0494109139636
v2,T3+F3,external_position_filter,noG,24,CDHG,6,104.2921826950682,177.51773801741956,123.90954137808627
v2,T3+F4,external_position_filter,all8,24,ABEF,6,64.36421431030408,125.63845426544876,79.76274049994527
v2,T3+F4,external_position_filter,all8,24,ADHE,6,58.99979437426804,137.39378605721697,83.1323767874451
v2,T3+F4,external_position_filter,all8,24,BCGF,6,46.82322079299901,207.01403722353493,112.62417915497447
v2,T3+F4,external_position_filter,all8,24,CDHG,6,95.8301178641703,174.43532508493863,112.78944196000704
v2,T3+F4,external_position_filter,noG,24,ABEF,6,80.6902124868843,125.85902325562324,86.92555099778174
v2,T3+F4,external_position_filter,noG,24,ADHE,6,105.07141672229537,235.86043567985683,142.5251964042557
v2,T3+F4,external_position_filter,noG,24,BCGF,6,70.548905373726,274.99537070720413,153.13330712114325
v2,T3+F4,external_position_filter,noG,24,CDHG,6,103.71315884901587,182.12167171668028,125.30038134360198
v2,T3+F5,external_position_filter,all8,24,ABEF,6,63.224118171451316,125.63359058309433,79.40177144376963
v2,T3+F5,external_position_filter,all8,24,ADHE,6,59.08868759830331,137.43222633040725,83.18676092795883
v2,T3+F5,external_position_filter,all8,24,BCGF,6,46.88454874207041,206.6812240950884,112.45754724328292
v2,T3+F5,external_position_filter,all8,24,CDHG,6,95.70723614097338,175.29030059748428,112.84337851221939
v2,T3+F5,external_position_filter,noG,24,ABEF,6,79.72965218943463,126.91479407756627,87.02144835709807
v2,T3+F5,external_position_filter,noG,24,ADHE,6,104.8622911047717,234.52655319821332,141.8878449016026
v2,T3+F5,external_position_filter,noG,24,BCGF,6,70.26041409623988,274.74105811059076,152.9641555472094
v2,T3+F5,external_position_filter,noG,24,CDHG,6,104.22246194263147,182.03702543269745,125.0519705256646
v2,T4+F0,external_position_filter,all8,24,ABEF,6,71.06121624373529,161.4518145707599,101.44956909663911
v2,T4+F0,external_position_filter,all8,24,ADHE,6,75.33127050888794,127.57853756587235,86.75374672343598
v2,T4+F0,external_position_filter,all8,24,BCGF,6,47.96699244831373,206.43933537293714,114.01681634146176
