sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T12:52:19.599929+00:00,1,0.0,682.0,11264.0,53.0,58.68
2026-06-05T12:52:34.633294+00:00,0,0.0,374.0,11264.0,55.0,81.35
2026-06-05T12:52:34.633316+00:00,1,0.0,234.0,11264.0,52.0,52.63
2026-06-05T12:52:49.664256+00:00,0,0.0,374.0,11264.0,56.0,81.46
2026-06-05T12:52:49.664276+00:00,1,0.0,234.0,11264.0,47.0,9.43
2026-06-05T12:53:04.697889+00:00,0,0.0,822.0,11264.0,56.0,81.73
2026-06-05T12:53:04.697910+00:00,1,0.0,234.0,11264.0,50.0,58.29
2026-06-05T12:53:19.735973+00:00,0,34.0,822.0,11264.0,54.0,63.73
2026-06-05T12:53:19.735994+00:00,1,0.0,682.0,11264.0,51.0,58.49
2026-06-05T12:53:34.766874+00:00,0,0.0,822.0,11264.0,53.0,61.52
2026-06-05T12:53:34.766893+00:00,1,23.0,906.0,11264.0,51.0,60.19
2026-06-05T12:53:49.803889+00:00,0,0.0,374.0,11264.0,55.0,80.87
2026-06-05T12:53:49.803914+00:00,1,23.0,682.0,11264.0,51.0,60.57
2026-06-05T12:54:04.839966+00:00,0,0.0,598.0,11264.0,55.0,81.5
2026-06-05T12:54:04.839990+00:00,1,0.0,234.0,11264.0,48.0,9.69
2026-06-05T12:54:19.875257+00:00,0,0.0,374.0,11264.0,56.0,81.37
2026-06-05T12:54:19.875280+00:00,1,0.0,234.0,11264.0,45.0,9.14
2026-06-05T12:54:34.907573+00:00,0,0.0,822.0,11264.0,53.0,67.27
2026-06-05T12:54:34.907595+00:00,1,0.0,458.0,11264.0,51.0,73.6
2026-06-05T12:54:49.939278+00:00,0,0.0,598.0,11264.0,54.0,67.18
2026-06-05T12:54:49.939297+00:00,1,0.0,682.0,11264.0,52.0,75.14
2026-06-05T12:55:04.971416+00:00,0,0.0,822.0,11264.0,54.0,67.08
2026-06-05T12:55:04.971439+00:00,1,28.0,682.0,11264.0,53.0,79.06
2026-06-05T12:55:20.002465+00:00,0,0.0,374.0,11264.0,52.0,55.51
2026-06-05T12:55:20.002487+00:00,1,33.0,682.0,11264.0,53.0,58.78
2026-06-05T12:55:35.033829+00:00,0,22.0,598.0,11264.0,49.0,62.2
2026-06-05T12:55:35.033853+00:00,1,0.0,234.0,11264.0,52.0,55.33
2026-06-05T12:55:50.064198+00:00,0,0.0,374.0,11264.0,51.0,60.99
2026-06-05T12:55:50.064226+00:00,1,0.0,234.0,11264.0,46.0,9.62
2026-06-05T12:56:05.099713+00:00,0,0.0,822.0,11264.0,51.0,61.33
2026-06-05T12:56:05.099735+00:00,1,4.0,412.0,11264.0,50.0,58.4
2026-06-05T12:56:20.137739+00:00,0,20.0,822.0,11264.0,51.0,62.58
2026-06-05T12:56:20.137759+00:00,1,0.0,682.0,11264.0,50.0,58.4
2026-06-05T12:56:35.168588+00:00,0,0.0,822.0,11264.0,51.0,61.23
2026-06-05T12:56:35.168609+00:00,1,0.0,682.0,11264.0,51.0,55.03
2026-06-05T12:56:50.200959+00:00,0,0.0,374.0,11264.0,51.0,61.24
2026-06-05T12:56:50.200978+00:00,1,0.0,458.0,11264.0,52.0,75.23
2026-06-05T12:57:05.239566+00:00,0,0.0,374.0,11264.0,46.0,10.86
2026-06-05T12:57:05.239589+00:00,1,0.0,234.0,11264.0,53.0,75.25
2026-06-05T12:57:20.271873+00:00,0,0.0,374.0,11264.0,49.0,60.83
2026-06-05T12:57:20.271895+00:00,1,0.0,234.0,11264.0,54.0,75.42
2026-06-05T12:57:35.303306+00:00,0,22.0,822.0,11264.0,50.0,62.67
2026-06-05T12:57:35.303330+00:00,1,0.0,458.0,11264.0,53.0,59.06
2026-06-05T12:57:50.335015+00:00,0,29.0,822.0,11264.0,51.0,63.06
2026-06-05T12:57:50.335034+00:00,1,20.0,682.0,11264.0,52.0,58.78
2026-06-05T12:58:05.366495+00:00,0,0.0,598.0,11264.0,52.0,80.29
2026-06-05T12:58:05.366522+00:00,1,0.0,906.0,11264.0,52.0,58.77
2026-06-05T12:58:20.404326+00:00,0,1.0,562.0,11264.0,54.0,80.95
2026-06-05T12:58:20.404348+00:00,1,0.0,458.0,11264.0,53.0,75.41
2026-06-05T12:58:35.446507+00:00,0,0.0,374.0,11264.0,55.0,80.87
2026-06-05T12:58:35.446545+00:00,1,0.0,234.0,11264.0,51.0,52.64
2026-06-05T12:58:50.477733+00:00,0,32.0,598.0,11264.0,53.0,63.93
2026-06-05T12:58:50.477754+00:00,1,0.0,10.0,11264.0,50.0,52.54
2026-06-05T12:59:05.513838+00:00,0,0.0,822.0,11264.0,52.0,61.52
2026-06-05T12:59:05.513860+00:00,1,31.0,458.0,11264.0,49.0,59.64
2026-06-05T12:59:20.546712+00:00,0,0.0,822.0,11264.0,52.0,57.91
2026-06-05T12:59:20.546733+00:00,1,0.0,682.0,11264.0,50.0,58.01
2026-06-05T12:59:35.578175+00:00,0,30.0,598.0,11264.0,49.0,62.29
2026-06-05T12:59:35.578195+00:00,1,0.0,682.0,11264.0,50.0,58.1
2026-06-05T12:59:50.612376+00:00,0,0.0,374.0,11264.0,53.0,74.74
2026-06-05T12:59:50.612397+00:00,1,0.0,682.0,11264.0,52.0,75.22
2026-06-05T13:00:05.647005+00:00,0,0.0,374.0,11264.0,54.0,74.45
2026-06-05T13:00:05.647025+00:00,1,0.0,234.0,11264.0,53.0,75.32
2026-06-05T13:00:20.678616+00:00,0,0.0,598.0,11264.0,53.0,61.7
2026-06-05T13:00:20.678638+00:00,1,0.0,234.0,11264.0,54.0,75.42
2026-06-05T13:00:35.711994+00:00,0,0.0,822.0,11264.0,55.0,81.25
2026-06-05T13:00:35.712015+00:00,1,0.0,458.0,11264.0,53.0,58.97
2026-06-05T13:00:50.745934+00:00,0,0.0,822.0,11264.0,56.0,81.35
2026-06-05T13:00:50.745955+00:00,1,0.0,682.0,11264.0,52.0,58.68
2026-06-05T13:01:05.778058+00:00,0,0.0,374.0,11264.0,56.0,81.29
2026-06-05T13:01:05.778078+00:00,1,0.0,458.0,11264.0,51.0,13.36
2026-06-05T13:01:20.810236+00:00,0,0.0,150.0,11264.0,50.0,11.62
2026-06-05T13:01:20.810256+00:00,1,21.0,458.0,11264.0,48.0,59.37
2026-06-05T13:01:35.845581+00:00,0,0.0,374.0,11264.0,51.0,61.24
2026-06-05T13:01:35.845603+00:00,1,0.0,234.0,11264.0,52.0,75.23
2026-06-05T13:01:50.877010+00:00,0,22.0,822.0,11264.0,52.0,62.95
2026-06-05T13:01:50.877029+00:00,1,0.0,458.0,11264.0,53.0,75.52
2026-06-05T13:02:05.911476+00:00,0,3.0,1046.0,11264.0,52.0,61.42
2026-06-05T13:02:05.911496+00:00,1,0.0,682.0,11264.0,52.0,58.65
2026-06-05T13:02:20.943783+00:00,0,0.0,822.0,11264.0,52.0,61.23
2026-06-05T13:02:20.943804+00:00,1,33.0,682.0,11264.0,52.0,61.34
2026-06-05T13:02:35.978903+00:00,0,0.0,374.0,11264.0,51.0,61.33
2026-06-05T13:02:35.978923+00:00,1,0.0,458.0,11264.0,52.0,58.66
2026-06-05T13:02:51.018578+00:00,0,35.0,374.0,11264.0,48.0,61.56
2026-06-05T13:02:51.018600+00:00,1,0.0,234.0,11264.0,50.0,13.36
2026-06-05T13:03:06.058716+00:00,0,0.0,374.0,11264.0,50.0,60.85
2026-06-05T13:03:06.058737+00:00,1,0.0,234.0,11264.0,51.0,58.56
2026-06-05T13:03:21.091668+00:00,0,0.0,822.0,11264.0,51.0,61.13
2026-06-05T13:03:21.091690+00:00,1,0.0,458.0,11264.0,51.0,58.49
2026-06-05T13:03:36.129370+00:00,0,0.0,1046.0,11264.0,51.0,61.13
2026-06-05T13:03:36.129391+00:00,1,21.0,458.0,11264.0,50.0,59.71
2026-06-05T13:03:51.169570+00:00,0,0.0,822.0,11264.0,51.0,61.23
2026-06-05T13:03:51.169591+00:00,1,1.0,682.0,11264.0,51.0,60.0
2026-06-05T13:04:06.202069+00:00,0,0.0,374.0,11264.0,49.0,15.08
2026-06-05T13:04:06.202090+00:00,1,0.0,458.0,11264.0,51.0,58.6
