experiment_id,seed_id,wall_time_s,status,backend,device
X_A0_U4_P1_L19_I3_T3,S02,2.3495780939992983,ok,,
X_A0_U4_P1_L19_I3_T4,S02,2.3541484529996524,ok,,
X_A0_U4_P1_L19_I3_T5,S02,1.4077442449997761,ok,,
X_A0_U4_P1_L19_I4_T1,S02,0.07228680299886037,ok,,
X_A0_U4_P1_L19_I4_T2,S02,2.2589423960016575,ok,,
X_A0_U4_P1_L19_I4_T3,S02,2.249414630998217,ok,,
X_A0_U4_P1_L19_I4_T4,S02,2.2387569599959534,ok,,
X_A0_U4_P1_L19_I4_T5,S02,2.260176132003835,ok,,
X_A0_U4_P1_L19_I5_T1,S02,0.07334900100249797,ok,,
X_A0_U4_P1_L19_I5_T2,S02,2.352091938002559,ok,,
X_A0_U4_P1_L19_I5_T3,S02,2.34431030399719,ok,,
X_A0_U4_P1_L19_I5_T4,S02,2.35116661900247,ok,,
X_A0_U4_P1_L19_I5_T5,S02,1.3918414309955551,ok,,
X_A0_U4_P1_L19_I6_T1,S02,0.047412845997314434,ok,,
X_A0_U4_P1_L19_I6_T2,S02,1.4752633129974129,ok,,
X_A0_U4_P1_L19_I6_T3,S02,2.2382557399978396,ok,,
X_A0_U4_P1_L19_I6_T4,S02,2.253532789000019,ok,,
X_A0_U4_P1_L19_I6_T5,S02,2.2561871670041,ok,,
X_A0_U4_P1_L19_I7_T1,S02,0.07113950500206556,ok,,
X_A0_U4_P1_L19_I7_T2,S02,2.241551047998655,ok,,
X_A0_U4_P1_L19_I7_T3,S02,2.3513767789991107,ok,,
X_A0_U4_P1_L19_I7_T4,S02,2.315179586999875,ok,,
X_A0_U4_P1_L19_I7_T5,S02,2.322272173994861,ok,,
X_A0_U4_P1_L19_I8_T1,S02,0.04469618700386491,ok,,
X_A0_U4_P1_L19_I8_T2,S02,1.3868294359999709,ok,,
X_A0_U4_P1_L19_I8_T3,S02,2.2522863740014145,ok,,
X_A0_U4_P1_L19_I8_T4,S02,2.2336950980024994,ok,,
X_A0_U4_P1_L19_I8_T5,S02,2.249736004996521,ok,,
X_A0_U4_P2_L19_I0_T1,S02,0.07222669100156054,ok,,
X_A0_U4_P2_L19_I0_T2,S02,2.2546735040014028,ok,,
X_A0_U4_P2_L19_I0_T3,S02,1.4020206230052281,ok,,
X_A0_U4_P2_L19_I0_T4,S02,2.3468572670026333,ok,,
X_A0_U4_P2_L19_I0_T5,S02,2.343762775999494,ok,,
X_A0_U4_P2_L19_I1_T1,S02,0.07407194299594266,ok,,
X_A0_U4_P2_L19_I1_T2,S02,2.352350490997196,ok,,
X_A0_U4_P2_L19_I1_T3,S02,1.4200291570014087,ok,,
X_A0_U4_P2_L19_I1_T4,S02,2.2548188400032814,ok,,
X_A0_U4_P2_L19_I1_T5,S02,2.2484354359985446,ok,,
X_A0_U4_P2_L19_I2_T1,S02,0.07018373499886366,ok,,
X_A0_U4_P2_L19_I2_T2,S02,2.2511557830002857,ok,,
X_A0_U4_P2_L19_I2_T3,S02,2.240116298002249,ok,,
X_A0_U4_P2_L19_I2_T4,S02,2.347851250997337,ok,,
X_A0_U4_P2_L19_I2_T5,S02,2.351624075003201,ok,,
X_A0_U4_P2_L19_I3_T1,S02,0.07359650700527709,ok,,
X_A0_U4_P2_L19_I3_T2,S02,2.34734263199789,ok,,
X_A0_U4_P2_L19_I3_T3,S02,1.3954338780022226,ok,,
X_A0_U4_P2_L19_I3_T4,S02,2.251649149999139,ok,,
X_A0_U4_P2_L19_I3_T5,S02,2.2516589099977864,ok,,
X_A0_U4_P2_L19_I4_T1,S02,0.06932854899787344,ok,,
X_A0_U4_P2_L19_I4_T2,S02,2.2414825600062613,ok,,
X_A0_U4_P2_L19_I4_T3,S02,2.2613649100021576,ok,,
X_A0_U4_P2_L19_I4_T4,S02,1.3770197330013616,ok,,
X_A0_U4_P2_L19_I4_T5,S02,2.3540988480017404,ok,,
X_A0_U4_P2_L19_I5_T1,S02,0.07340970500081312,ok,,
X_A0_U4_P2_L19_I5_T2,S02,2.343664329004241,ok,,
X_A0_U4_P2_L19_I5_T3,S02,2.3549680010037264,ok,,
X_A0_U4_P2_L19_I5_T4,S02,1.3849127779976698,ok,,
X_A0_U4_P2_L19_I5_T5,S02,2.252368936999119,ok,,
X_A0_U4_P2_L19_I6_T1,S02,0.07107540900324238,ok,,
X_A0_U4_P2_L19_I6_T2,S02,2.2579229600014514,ok,,
X_A0_U4_P2_L19_I6_T3,S02,2.247068397999101,ok,,
X_A0_U4_P2_L19_I6_T4,S02,2.3712799749991973,ok,,
X_A0_U4_P2_L19_I6_T5,S02,1.3822960469988175,ok,,
X_A0_U4_P2_L19_I7_T1,S02,0.07314022300124634,ok,,
X_A0_U4_P2_L19_I7_T2,S02,2.4553680719982367,ok,,
X_A0_U4_P2_L19_I7_T3,S02,2.333398369999486,ok,,
X_A0_U4_P2_L19_I7_T4,S02,2.3528515549987787,ok,,
X_A0_U4_P2_L19_I7_T5,S02,1.376863448000222,ok,,
X_A0_U4_P2_L19_I8_T1,S02,0.0703008230047999,ok,,
X_A0_U4_P2_L19_I8_T2,S02,2.3485833489976358,ok,,
